person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
40,111715,OWN,12,PERSONAL,A,19841,12.5,1,0.18,Y,17
41,99129,MORTGAGE,8,PERSONAL,C,3695,6.4,1,0.04,N,20
32,81669,MORTGAGE,16,VENTURE,D,30981,18.7,1,0.38,Y,7
51,65607,RENT,13,MEDICAL,D,23843,9.8,1,0.36,N,5
39,106846,OWN,12,MEDICAL,C,38051,5.6,1,0.36,N,4
46,87449,RENT,0,HOMEIMPROVEMENT,C,37559,11.9,1,0.43,N,3
52,101973,RENT,14,MEDICAL,D,5382,8.1,1,0.05,Y,19
52,35915,MORTGAGE,0,PERSONAL,D,17682,15.6,1,0.49,N,11
28,80482,MORTGAGE,3,DEBTCONSOLIDATION,C,12090,12.5,1,0.15,N,11
51,81894,RENT,7,HOMEIMPROVEMENT,B,31935,13.3,1,0.39,Y,14
38,74387,OWN,10,DEBTCONSOLIDATION,C,35275,9.0,1,0.47,N,2
58,106499,OWN,15,MEDICAL,D,11738,11.7,1,0.11,N,17
41,44727,RENT,7,MEDICAL,D,39473,10.7,1,0.88,N,15
